id=1, plug=BLUE STAR, leftSocket=CYAN STAR, rightSocket=MAGENTA DIAMOND, data=1--------------------
id=86, plug=BLUE PENTAGON, leftSocket=RED CIRCLE, rightSocket=RED TRIANGLE, data=-----3-3----2-2-----1
id=87, plug=RED CIRCLE, leftSocket=GREEN SQUARE, rightSocket=BLUE STAR, data=--------------------1
id=88, plug=RED PENTAGON, leftSocket=RED DIAMOND, rightSocket=BLACK TRIANGLE, data=-----3------2--------
id=89, plug=GREEN PENTAGON, leftSocket=YELLOW OCTAGON, rightSocket=GREEN CIRCLE, data=------3-3----2-2-----
id=90, plug=MAGENTA STAR, leftSocket=CYAN SQUARE, rightSocket=BLACK CIRCLE, data=---------------------
id=91, plug=RED SQUARE, leftSocket=MAGENTA OCTAGON, rightSocket=YELLOW DIAMOND, data=1--------------------
id=92, plug=BLACK PENTAGON, leftSocket=YELLOW CIRCLE, rightSocket=CYAN PENTAGON, data=-----3------2-------1
id=93, plug=YELLOW STAR, leftSocket=RED TRIANGLE, rightSocket=GREEN STAR, data=1--------------------
id=94, plug=CYAN CIRCLE, leftSocket=MAGENTA OCTAGON, rightSocket=YELLOW HEXAGON, data=-----3-3----2-2------
id=95, plug=RED OCTAGON, leftSocket=MAGENTA DIAMOND, rightSocket=GREEN STAR, data=1------3------2------
id=96, plug=GREEN OCTAGON, leftSocket=GREEN HEXAGON, rightSocket=GREEN STAR, data=---------------------
id=97, plug=MAGENTA PENTAGON, leftSocket=CYAN OCTAGON, rightSocket=BLACK HEXAGON, data=-----3------2-------1
id=98, plug=MAGENTA TRIANGLE, leftSocket=CYAN STAR, rightSocket=GREEN DIAMOND, data=--------------------1
id=99, plug=MAGENTA TRIANGLE, leftSocket=YELLOW PENTAGON, rightSocket=BLUE DIAMOND, data=---------------------
id=100, plug=GREEN STAR, leftSocket=YELLOW PENTAGON, rightSocket=YELLOW SQUARE, data=------3-3----2-2----1
id=101, plug=GREEN OCTAGON, leftSocket=WHITE HEXAGON, rightSocket=MAGENTA SQUARE, data=----3------2--------1
id=102, plug=WHITE SQUARE, leftSocket=WHITE STAR, rightSocket=BLUE SQUARE, data=---------------------
id=103, plug=RED CIRCLE, leftSocket=YELLOW DIAMOND, rightSocket=RED CIRCLE, data=----3------2--------1
id=104, plug=CYAN TRIANGLE, leftSocket=YELLOW CIRCLE, rightSocket=MAGENTA CIRCLE, data=--------------------1
id=105, plug=CYAN PENTAGON, leftSocket=MAGENTA HEXAGON, rightSocket=BLACK HEXAGON, data=-----3------2--------
id=106, plug=CYAN DIAMOND, leftSocket=BLACK SQUARE, rightSocket=BLUE OCTAGON, data=1----3-3----2-2------
id=107, plug=WHITE SQUARE, leftSocket=CYAN HEXAGON, rightSocket=RED DIAMOND, data=1--------------------
id=108, plug=WHITE DIAMOND, leftSocket=MAGENTA SQUARE, rightSocket=BLUE OCTAGON, data=1--------------------
id=109, plug=MAGENTA STAR, leftSocket=BLUE STAR, rightSocket=BLUE DIAMOND, data=--------------------1
id=110, plug=BLUE SQUARE, leftSocket=BLACK STAR, rightSocket=CYAN CIRCLE, data=--------------------1
id=111, plug=BLACK CIRCLE, leftSocket=WHITE PENTAGON, rightSocket=YELLOW HEXAGON, data=------3--3---2--2----
id=112, plug=RED CIRCLE, leftSocket=BLUE HEXAGON, rightSocket=BLACK CIRCLE, data=------3-3----2-2-----
id=113, plug=BLUE TRIANGLE, leftSocket=GREEN STAR, rightSocket=GREEN CIRCLE, data=--------------------1
id=114, plug=BLACK CIRCLE, leftSocket=YELLOW CIRCLE, rightSocket=YELLOW CIRCLE, data=1-----3-3----2-2-----
id=115, plug=YELLOW HEXAGON, leftSocket=CYAN DIAMOND, rightSocket=RED CIRCLE, data=---------------------
id=116, plug=CYAN PENTAGON, leftSocket=RED STAR, rightSocket=BLACK SQUARE, data=------3--3---2--2---1
id=117, plug=RED PENTAGON, leftSocket=YELLOW SQUARE, rightSocket=GREEN CIRCLE, data=-----3------2-------1
id=118, plug=MAGENTA DIAMOND, leftSocket=BLACK PENTAGON, rightSocket=CYAN OCTAGON, data=---------------------
id=119, plug=WHITE CIRCLE, leftSocket=CYAN STAR, rightSocket=GREEN HEXAGON, data=-----3------2--------
id=120, plug=YELLOW DIAMOND, leftSocket=WHITE TRIANGLE, rightSocket=YELLOW HEXAGON, data=1--------------------
id=121, plug=YELLOW DIAMOND, leftSocket=WHITE CIRCLE, rightSocket=MAGENTA CIRCLE, data=----3------2--------1
id=122, plug=YELLOW STAR, leftSocket=MAGENTA HEXAGON, rightSocket=YELLOW HEXAGON, data=1------3------2------
id=123, plug=YELLOW CIRCLE, leftSocket=RED SQUARE, rightSocket=WHITE PENTAGON, data=---------------------
